quoteUID,characterUID,characterName,quote,mad_lib,source_link,source
1,1,Mitch McConnell,#TaxReform continues to deliver for American workers,*** continues to deliver for *** on Valentine's Day.,https://twitter.com/SenateMajLdr/status/956264961596063744,twitter
2,1,Mitch McConnell,Here’s the difference between the Democratic Leader and the rest of the #Senate tonight: He wants to keep the government shut down for hundreds of millions of Americans until we finish negotiating on illegal immigration.,Here's the difference between *** and the rest of the ***: *** wants to keep ***.,https://twitter.com/SenateMajLdr/status/954864836936175618,twitter
12,2,Alison Lundergan Grimes,"Dear @realDonaldTrump, you're not fooling anyone. You do not represent us.",Dear ***. You’re not fooling anyone. You ***. Happy Valentine’s!,https://twitter.com/AlisonForKY/status/755929148686798848,twitter
13,2,Alison Lundergan Grimes,"There's not enough bourbon in Kentucky to make the request from @POTUS's ""election commission"" seem sensible.",There's not enough bourbon in Kentucky to make *** seem sensible this Valentine's Day.,,twitter
6,3,Matt Bevin,I have no respect for people who lie for personal or political gain. Russ Meyer is such a person.,Happy Valentine’s! I have *** for people who ***. *** is such a person!,https://www.facebook.com/mattbevinforkentucky/posts/1125499390899704:0,facebook
7,3,Matt Bevin,"The purpose of government: Protection, Infrastructure and Education. That is exactly what this budget will take care of. ","The purpose of ***: ***, *** and ***. That is exactly what this *** will take care of on Valentine's Day.",https://twitter.com/GovMattBevin/status/955192856687325185,twitter
15,4,Jenean Hampton,"“I would not be studying history, unless, you have a job lined up.""","This Valentine's Day, I would not be ***, unless, ***.",https://www.courier-journal.com/story/news/politics/2016/04/08/dont-study-history-lt-gov-tells-students/82794792/,CJ
9,5,Steve Beshear,"At some point, Matt Bevin has to realize there is a time to campaign and a time to govern... Kentuckians deserve better.","At some point, *** has to realize there is a time to *** and a time to ***. *** deserves better on Valentine’s Day.",https://www.facebook.com/govstevebeshear/posts/10154252607582590,facebook
10,5,Steve Beshear,Takeaway from all this: Ky families need more governing and less campaigning. Because there's a huge difference.,Takeaway from all this: *** needs more ***. Happy Valentine's Day!,https://twitter.com/Steve__Beshear/status/725425114175643648,twitter
11,7,Robert Stivers,Politics are over now it is time 4 policy discussions. Already discussions w Leader Hoover & Gov Bevin & staff! Ds have reached out as well,Happy Valentine's Day. Politics are over now it is time 4 ***. ,https://twitter.com/kysenatepres/status/796692002154971140,twitter
3,8,Rand Paul,Protecting the entire Bill of Rights is one of the main reasons I ran for office. I'll remain vigilant in that cause,*** is one of the main reasons I ***. I’ll remain vigilant on Valentine’s Day.,https://twitter.com/RandPaul/status/823688092028719112,twitter
4,8,Rand Paul,I remember a time when Republicans actually said we should reduce the size and scope of government…,I remember a time when *** actually said we should ***. Happy Valentine’s!!,https://twitter.com/RandPaul/status/818586079485956097,twitter
5,8,Rand Paul,"I fight for the Constitution, individual liberty and the freedoms that make this country great.",I fight for the *** that make *** great.,,twitter bio
14,9,Martha Layne Collins,"""The most important quality of leadership is a belief that we can do better.""",The most important quality of *** is a belief that ***.,,Personal Papers of Martha Layne Collins
8,10,Andy Beshear,"I would suggest in the future that if the governor has any questions on the hard work of my office that he walk across the hallway and ask to meet with me, and not hide behind Facebook.","For Valentine’s Day, I would suggest that *** walk across the hallway and ***, with love.",http://www.courier-journal.com/story/news/politics/2017/01/25/bevin-beshear-wont-defend-ultrasound-law/97038266/,web